t,i,j
0.0,1467,1591
2.0,1513,1591
9.0,1591,1467
10.0,1591,1467
11.0,1591,1467
12.0,1591,1467
15.0,1467,1591
16.0,1467,1591
17.0,1467,1591
22.0,1568,1591
23.0,1568,1591
24.0,1568,1591
25.0,1568,1591
28.0,1562,1467
33.0,1524,1562
35.0,1524,1562
37.0,1771,1428
44.0,1600,1523
44.0,1525,1529
44.0,1600,1544
44.0,1600,1529
44.0,1600,1519
44.0,1544,1529
44.0,1544,1519
44.0,1600,1525
44.0,1600,1583
44.0,1510,1519
44.0,1544,1525
44.0,1519,1583
44.0,1519,1525
44.0,1519,1529
44.0,1549,1525
44.0,1583,1529
44.0,1510,1525
44.0,1583,1525
44.0,1553,1525
44.0,1583,1510
45.0,1606,1523
45.0,1600,1510
45.0,1600,1544
45.0,1600,1549
45.0,1600,1529
45.0,1600,1519
45.0,1510,1544
45.0,1544,1583
45.0,1544,1529
45.0,1544,1519
45.0,1549,1529
45.0,1519,1553
45.0,1523,1525
45.0,1600,1553
45.0,1600,1525
45.0,1600,1583
45.0,1510,1549
45.0,1510,1529
45.0,1510,1519
45.0,1544,1553
45.0,1544,1549
45.0,1544,1525
45.0,1519,1549
45.0,1519,1583
45.0,1519,1525
45.0,1519,1529
45.0,1549,1553
45.0,1549,1525
45.0,1549,1583
45.0,1583,1529
45.0,1553,1523
45.0,1510,1525
45.0,1583,1553
45.0,1583,1525
45.0,1553,1525
45.0,1510,1553
45.0,1583,1510
46.0,1600,1510
46.0,1600,1544
46.0,1600,1549
46.0,1600,1529
46.0,1600,1519
46.0,1510,1544
46.0,1544,1583
46.0,1544,1529
46.0,1544,1519
46.0,1549,1529
46.0,1519,1553
46.0,1523,1525
46.0,1600,1553
46.0,1600,1525
46.0,1600,1583
46.0,1510,1549
46.0,1510,1529
46.0,1510,1519
46.0,1544,1553
46.0,1544,1523
46.0,1544,1549
46.0,1544,1525
46.0,1519,1549
46.0,1519,1583
46.0,1519,1523
46.0,1519,1525
46.0,1519,1529
46.0,1549,1553
46.0,1549,1525
46.0,1549,1583
46.0,1583,1529
46.0,1553,1523
46.0,1529,1525
46.0,1510,1525
46.0,1583,1553
46.0,1583,1525
46.0,1553,1525
46.0,1510,1553
46.0,1583,1510
47.0,1600,1553
47.0,1600,1523
47.0,1600,1525
47.0,1600,1583
47.0,1510,1549
47.0,1510,1529
47.0,1510,1519
47.0,1544,1553
47.0,1544,1523
47.0,1544,1549
47.0,1544,1525
47.0,1519,1549
47.0,1519,1583
47.0,1519,1523
47.0,1519,1525
47.0,1519,1529
47.0,1549,1553
47.0,1549,1523
47.0,1549,1525
47.0,1549,1583
47.0,1583,1529
47.0,1553,1523
47.0,1523,1529
47.0,1529,1525
47.0,1510,1525
47.0,1583,1553
47.0,1583,1525
47.0,1553,1525
47.0,1510,1553
47.0,1583,1510
48.0,1510,1525
48.0,1583,1553
48.0,1583,1525
48.0,1553,1525
48.0,1510,1553
48.0,1583,1510
49.0,1519,1549
49.0,1510,1525
49.0,1583,1553
49.0,1583,1525
49.0,1553,1525
49.0,1510,1553
49.0,1583,1510
50.0,1622,1529
50.0,1510,1525
50.0,1583,1553
50.0,1583,1525
50.0,1553,1525
50.0,1510,1553
50.0,1583,1510
51.0,1510,1525
51.0,1583,1553
51.0,1583,1525
51.0,1553,1525
51.0,1510,1553
51.0,1583,1510
52.0,1510,1525
52.0,1583,1553
52.0,1583,1525
52.0,1553,1523
52.0,1553,1525
52.0,1510,1553
52.0,1583,1510
53.0,1510,1525
53.0,1583,1553
53.0,1583,1525
53.0,1553,1523
53.0,1553,1525
53.0,1523,1525
53.0,1510,1553
53.0,1583,1523
53.0,1583,1510
54.0,1510,1553
54.0,1510,1599
54.0,1583,1523
54.0,1513,1560
54.0,1523,1599
54.0,1525,1599
54.0,1510,1523
54.0,1583,1510
55.0,1553,1525
55.0,1523,1525
55.0,1513,1560
55.0,1523,1599
55.0,1525,1599
55.0,1510,1523
55.0,1583,1510
56.0,1513,1560
56.0,1523,1599
56.0,1525,1599
56.0,1510,1523
56.0,1583,1510
57.0,1602,1631
57.0,1583,1553
57.0,1525,1599
57.0,1510,1553
57.0,1510,1523
57.0,1583,1523
57.0,1553,1523
57.0,1583,1510
58.0,1510,1553
58.0,1510,1523
58.0,1583,1523
58.0,1553,1523
58.0,1553,1525
58.0,1553,1599
58.0,1523,1599
58.0,1523,1525
58.0,1583,1510
59.0,1510,1599
59.0,1583,1599
59.0,1602,1631
59.0,1583,1510
60.0,1583,1525
60.0,1583,1599
60.0,1599,1525
60.0,1602,1631
60.0,1510,1525
60.0,1523,1525
60.0,1573,1519
60.0,1537,1560
60.0,1599,1523
60.0,1583,1510
61.0,1573,1519
61.0,1537,1560
61.0,1599,1523
61.0,1583,1510
62.0,1537,1560
62.0,1599,1523
62.0,1583,1510
63.0,1602,1631
63.0,1599,1523
63.0,1583,1510
64.0,1583,1599
64.0,1599,1510
64.0,1583,1519
64.0,1602,1631
64.0,1599,1523
64.0,1583,1510
65.0,1583,1519
65.0,1519,1525
65.0,1602,1631
65.0,1599,1523
65.0,1583,1510
66.0,1602,1631
66.0,1599,1523
66.0,1583,1510
67.0,1560,1531
67.0,1602,1631
67.0,1599,1523
67.0,1583,1510
68.0,1602,1631
68.0,1523,1531
68.0,1599,1523
68.0,1583,1510
69.0,1539,1568
69.0,1599,1604
69.0,1602,1631
69.0,1599,1531
69.0,1523,1531
69.0,1604,1531
69.0,1599,1523
69.0,1583,1510
70.0,1599,1531
70.0,1523,1531
70.0,1604,1531
70.0,1599,1523
70.0,1583,1510
71.0,1599,1529
71.0,1599,1510
71.0,1604,1531
71.0,1599,1525
71.0,1599,1523
71.0,1602,1631
71.0,1583,1510
72.0,1529,1523
72.0,1510,1523
72.0,1583,1599
72.0,1599,1529
72.0,1599,1510
72.0,1604,1531
72.0,1599,1525
72.0,1599,1523
72.0,1602,1631
72.0,1583,1510
73.0,1583,1599
73.0,1599,1529
73.0,1599,1510
73.0,1604,1531
73.0,1599,1525
73.0,1549,1525
73.0,1599,1523
73.0,1602,1631
73.0,1583,1510
74.0,1543,1513
74.0,1544,1573
74.0,1599,1525
74.0,1549,1525
74.0,1599,1523
74.0,1602,1631
74.0,1583,1510
75.0,1583,1599
75.0,1599,1529
75.0,1599,1510
75.0,1549,1525
75.0,1599,1523
75.0,1602,1631
75.0,1583,1510
76.0,1543,1513
76.0,1599,1529
76.0,1599,1510
76.0,1549,1525
76.0,1599,1523
76.0,1602,1631
76.0,1583,1510
77.0,1583,1599
77.0,1599,1529
77.0,1599,1510
77.0,1544,1573
77.0,1549,1525
77.0,1599,1523
77.0,1602,1631
77.0,1583,1510
78.0,1599,1529
78.0,1599,1510
78.0,1604,1531
78.0,1519,1523
78.0,1544,1573
78.0,1549,1525
78.0,1599,1523
78.0,1602,1631
78.0,1583,1510
79.0,1544,1573
79.0,1549,1525
79.0,1599,1523
79.0,1602,1631
79.0,1583,1510
80.0,1544,1549
80.0,1544,1525
80.0,1544,1599
80.0,1549,1525
80.0,1599,1525
80.0,1599,1523
80.0,1544,1523
80.0,1602,1631
80.0,1604,1531
80.0,1583,1510
81.0,1544,1583
81.0,1544,1525
81.0,1544,1599
81.0,1549,1525
81.0,1599,1525
81.0,1599,1523
81.0,1544,1523
81.0,1544,1510
81.0,1602,1631
81.0,1604,1531
81.0,1583,1510
82.0,1599,1523
82.0,1525,1529
82.0,1544,1523
82.0,1544,1510
82.0,1602,1631
82.0,1604,1531
82.0,1583,1510
83.0,1544,1523
83.0,1544,1510
83.0,1523,1525
83.0,1544,1599
83.0,1602,1631
83.0,1583,1525
83.0,1544,1525
83.0,1604,1531
83.0,1583,1510
84.0,1544,1599
84.0,1602,1631
84.0,1526,1531
84.0,1583,1525
84.0,1544,1525
84.0,1604,1531
84.0,1599,1523
84.0,1583,1510
85.0,1602,1631
85.0,1526,1531
85.0,1510,1525
85.0,1583,1525
85.0,1544,1525
85.0,1604,1531
85.0,1599,1523
85.0,1583,1510
86.0,1510,1525
86.0,1583,1525
86.0,1544,1525
86.0,1604,1531
86.0,1582,1523
86.0,1582,1599
86.0,1599,1523
86.0,1583,1510
87.0,1549,1525
87.0,1583,1525
87.0,1602,1631
87.0,1544,1525
87.0,1604,1531
87.0,1582,1523
87.0,1582,1599
87.0,1599,1523
87.0,1583,1510
88.0,1544,1525
88.0,1551,1269
88.0,1604,1531
88.0,1582,1523
88.0,1582,1599
88.0,1599,1523
88.0,1583,1510
89.0,1463,1628
89.0,1604,1531
89.0,1519,1523
89.0,1582,1523
89.0,1582,1599
89.0,1599,1523
89.0,1549,1525
89.0,1583,1510
90.0,1552,1600
90.0,1582,1523
90.0,1582,1599
90.0,1602,1631
90.0,1599,1523
90.0,1549,1525
90.0,1583,1510
91.0,1551,1269
91.0,1599,1523
91.0,1549,1525
91.0,1604,1531
91.0,1583,1510
92.0,1544,1523
92.0,1551,1514
92.0,1551,1269
92.0,1591,1531
92.0,1544,1599
92.0,1599,1523
92.0,1549,1525
92.0,1604,1531
92.0,1583,1510
93.0,1591,1604
93.0,1551,1514
93.0,1551,1269
93.0,1591,1531
93.0,1602,1631
93.0,1544,1599
93.0,1599,1523
93.0,1549,1525
93.0,1604,1531
93.0,1583,1510
94.0,1544,1523
94.0,1547,1504
94.0,1551,1514
94.0,1551,1269
94.0,1552,1600
94.0,1591,1531
94.0,1602,1631
94.0,1523,1529
94.0,1544,1599
94.0,1599,1523
94.0,1549,1525
94.0,1604,1531
94.0,1583,1510
95.0,1544,1599
95.0,1599,1523
95.0,1510,1529
95.0,1523,1525
95.0,1599,1529
95.0,1549,1525
95.0,1604,1531
95.0,1583,1510
96.0,1544,1525
96.0,1544,1510
96.0,1599,1529
96.0,1600,1523
96.0,1601,1604
96.0,1510,1525
96.0,1549,1525
96.0,1463,1628
96.0,1604,1531
96.0,1583,1510
97.0,1544,1600
97.0,1544,1523
97.0,1549,1525
97.0,1599,1510
97.0,1519,1523
97.0,1463,1628
97.0,1599,1523
97.0,1602,1631
97.0,1604,1531
97.0,1583,1510
98.0,1463,1628
98.0,1599,1523
98.0,1601,1629
98.0,1599,1529
98.0,1602,1631
98.0,1604,1531
98.0,1583,1510
99.0,1544,1529
99.0,1549,1523
99.0,1601,1629
99.0,1616,1518
99.0,1547,1504
99.0,1599,1529
99.0,1544,1599
99.0,1549,1519
99.0,1602,1631
99.0,1604,1531
99.0,1583,1510
100.0,1547,1504
100.0,1599,1529
100.0,1523,1529
100.0,1544,1599
100.0,1549,1519
100.0,1602,1631
100.0,1604,1531
100.0,1583,1510
101.0,1544,1529
101.0,1544,1599
101.0,1549,1519
101.0,1600,1519
101.0,1602,1631
101.0,1604,1531
101.0,1551,1269
101.0,1583,1510
102.0,1544,1523
102.0,1600,1519
102.0,1602,1631
102.0,1604,1531
102.0,1463,1628
102.0,1551,1269
102.0,1616,1518
102.0,1599,1523
102.0,1583,1510
103.0,1544,1529
103.0,1551,1514
103.0,1551,1269
103.0,1616,1518
103.0,1547,1504
103.0,1599,1523
103.0,1583,1510
104.0,1544,1599
104.0,1547,1504
104.0,1691,1518
104.0,1600,1519
104.0,1599,1523
104.0,1604,1531
104.0,1583,1510
105.0,1544,1529
105.0,1599,1523
105.0,1604,1531
105.0,1551,1514
105.0,1602,1631
105.0,1583,1510
106.0,1544,1529
106.0,1545,1580
106.0,1549,1523
106.0,1616,1518
106.0,1549,1599
106.0,1599,1523
106.0,1604,1531
106.0,1551,1514
106.0,1602,1631
106.0,1583,1510
107.0,1549,1599
107.0,1599,1523
107.0,1604,1531
107.0,1544,1599
107.0,1551,1514
107.0,1602,1631
107.0,1583,1510
108.0,1544,1529
108.0,1544,1599
108.0,1544,1523
108.0,1551,1514
108.0,1616,1518
108.0,1600,1519
108.0,1602,1631
108.0,1583,1510
109.0,1523,1529
109.0,1544,1523
109.0,1551,1514
109.0,1616,1518
109.0,1600,1519
109.0,1602,1631
109.0,1583,1510
110.0,1544,1523
110.0,1551,1514
110.0,1616,1518
110.0,1600,1519
110.0,1602,1631
110.0,1604,1531
110.0,1583,1510
111.0,1544,1523
111.0,1549,1529
111.0,1551,1514
111.0,1616,1518
111.0,1600,1519
111.0,1602,1631
111.0,1604,1531
111.0,1583,1510
112.0,1539,1549
112.0,1600,1523
112.0,1600,1519
112.0,1601,1629
112.0,1602,1631
112.0,1544,1529
112.0,1604,1531
112.0,1519,1523
112.0,1583,1510
113.0,1544,1529
113.0,1544,1583
113.0,1604,1531
113.0,1616,1518
113.0,1544,1510
113.0,1519,1523
113.0,1583,1510
114.0,1544,1510
