t,i,j,τ
4836,1269,1437,1.0
807,1269,1440,1.0
809,1269,1440,1.0
814,1269,1440,1.0
884,1269,1440,1.0
4707,1269,1440,1.0
4709,1269,1440,1.0
5408,1269,1452,1.0
491,1269,1453,1.0
495,1269,1453,12.0
511,1269,1453,3.0
521,1269,1453,1.0
4847,1269,1492,1.0
4928,1269,1495,1.0
1141,1269,1819,1.0
1148,1269,1819,1.0
1152,1269,1819,2.0
1156,1269,1819,2.0
1160,1269,1819,6.0
1167,1269,1819,3.0
4752,1269,1870,2.0
4859,1269,1871,1.0
4753,1269,1886,2.0
1420,1425,1427,1.0
427,1425,1431,2.0
431,1425,1431,1.0
436,1425,1431,1.0
1405,1425,1431,1.0
414,1425,1433,1.0
1421,1425,1471,1.0
1424,1425,1489,3.0
1491,1425,1491,1.0
1421,1425,1501,1.0
1066,1425,1512,4.0
438,1425,1516,1.0
440,1425,1516,1.0
1421,1425,1525,1.0
1463,1425,1533,1.0
418,1425,1535,1.0
5016,1425,1557,39.0
5025,1425,1703,29.0
5017,1425,1774,10.0
5053,1425,1774,1.0
5026,1425,1900,29.0
5025,1425,1903,30.0
410,1426,1459,2.0
420,1426,1459,3.0
425,1426,1459,2.0
431,1426,1459,3.0
437,1426,1459,1.0
442,1426,1459,2.0
453,1426,1459,1.0
460,1426,1459,3.0
1383,1426,1501,1.0
4847,1426,1501,1.0
4782,1426,1524,5.0
4789,1426,1524,1.0
4792,1426,1524,1.0
1424,1426,1525,11.0
1060,1427,1453,1.0
1658,1427,1467,1.0
1726,1427,1467,1.0
1439,1427,1473,1.0
4756,1427,1479,1.0
1445,1427,1482,1.0
4754,1427,1483,1.0
4756,1427,1483,1.0
4733,1427,1485,1.0
5407,1427,1485,1.0
4863,1427,1490,1.0
4927,1427,1490,2.0
1085,1427,1493,1.0
431,1427,1495,1.0
4724,1427,1503,1.0
4766,1427,1524,5.0
433,1427,1526,1.0
1377,1427,1531,1.0
2169,1427,1622,1.0
4306,1427,1715,2.0
1393,1428,1431,1.0
4716,1428,1458,1.0
4721,1428,1458,1.0
432,1428,1463,1.0
1437,1428,1467,1.0
4520,1428,1495,1.0
4709,1428,1517,1.0
816,1428,1519,1.0
425,1428,1520,1.0
4730,1428,1520,1.0
814,1428,1525,1.0
126,1430,1453,3.0
536,1430,1501,1.0
540,1430,1501,1.0
5241,1430,1531,2.0
5244,1430,1531,3.0
5248,1430,1531,1.0
5250,1430,1531,5.0
5256,1430,1531,4.0
5286,1431,1458,11.0
412,1431,1468,1.0
474,1431,1468,1.0
987,1431,1468,1.0
497,1431,1496,2.0
428,1431,1516,3.0
432,1431,1516,7.0
440,1431,1516,2.0
443,1431,1516,1.0
446,1431,1516,2.0
449,1431,1516,2.0
452,1431,1516,1.0
455,1431,1516,1.0
460,1431,1516,3.0
512,1431,1516,7.0
522,1431,1516,1.0
534,1431,1516,1.0
536,1431,1516,1.0
548,1431,1516,1.0
767,1431,1516,5.0
774,1431,1516,1.0
776,1431,1516,3.0
780,1431,1516,1.0
799,1431,1516,1.0
807,1431,1516,2.0
838,1431,1516,3.0
865,1431,1516,1.0
876,1431,1516,1.0
879,1431,1516,2.0
882,1431,1516,1.0
896,1431,1516,1.0
902,1431,1516,1.0
927,1431,1516,1.0
999,1431,1516,1.0
1001,1431,1516,1.0
1022,1431,1516,1.0
1024,1431,1516,1.0
1028,1431,1516,1.0
1048,1431,1516,1.0
1052,1431,1516,1.0
1057,1431,1516,2.0
1060,1431,1516,3.0
1385,1431,1516,1.0
1396,1431,1516,2.0
1399,1431,1516,1.0
1405,1431,1516,1.0
1411,1431,1516,5.0
1426,1431,1516,1.0
1428,1431,1516,1.0
1431,1431,1516,1.0
1437,1431,1516,1.0
1448,1431,1516,2.0
1461,1431,1516,1.0
1463,1431,1516,2.0
1466,1431,1516,3.0
5083,1431,1516,1.0
5103,1431,1516,1.0
5110,1431,1516,1.0
5138,1431,1516,1.0
5162,1431,1516,1.0
5165,1431,1516,1.0
5171,1431,1516,1.0
5173,1431,1516,1.0
5176,1431,1516,1.0
5207,1431,1516,1.0
469,1431,1519,1.0
516,1433,1443,5.0
1391,1433,1448,1.0
1462,1433,1463,4.0
1437,1433,1480,1.0
465,1433,1487,1.0
471,1433,1487,1.0
4779,1433,1491,1.0
1378,1433,1503,2.0
1397,1433,1519,8.0
1407,1433,1519,5.0
1414,1433,1519,2.0
1418,1433,1519,2.0
583,1433,1527,1.0
4441,1433,1845,1.0
1166,1434,1437,3.0
569,1434,1439,1.0
128,1434,1448,1.0
1163,1434,1453,7.0
486,1434,1457,1.0
4821,1434,1458,1.0
1438,1434,1462,1.0
447,1434,1469,4.0
1439,1434,1485,1.0
4783,1434,1493,3.0
495,1434,1496,1.0
4774,1434,1498,2.0
535,1434,1514,1.0
1438,1434,1529,2.0
135,1434,1602,1.0
145,1434,1629,1.0
135,1434,1631,1.0
4307,1434,1775,3.0
4312,1434,1775,2.0
4722,1435,1452,1.0
435,1435,1496,1.0
4803,1435,1502,1.0
436,1435,1505,1.0
597,1435,1532,5.0
427,1435,1535,1.0
430,1435,1535,1.0
4487,1435,1755,1.0
432,1436,1441,1.0
401,1436,1458,2.0
405,1436,1458,2.0
420,1436,1460,1.0
308,1436,1463,1.0
310,1436,1463,2.0
313,1436,1463,2.0
310,1436,1469,1.0
312,1436,1469,8.0
321,1436,1469,6.0
328,1436,1469,66.0
395,1436,1469,2.0
312,1436,1489,1.0
410,1436,1519,6.0
408,1436,1523,2.0
411,1436,1523,2.0
325,1436,1525,1.0
415,1436,1525,6.0
321,1436,1529,2.0
344,1436,1529,3.0
397,1436,1529,3.0
305,1436,1598,7.0
307,1436,1600,1.0
309,1436,1628,6.0
305,1436,1724,7.0
341,1437,1441,3.0
1163,1437,1453,3.0
1167,1437,1453,3.0
1423,1437,1455,10.0
1434,1437,1455,1.0
1436,1437,1455,1.0
4764,1437,1455,2.0
4767,1437,1455,1.0
388,1437,1458,2.0
1375,1437,1462,2.0
4956,1437,1463,5.0
512,1437,1470,1.0
537,1437,1470,1.0
1342,1437,1471,2.0
1346,1437,1471,1.0
1407,1437,1480,1.0
1392,1437,1496,1.0
499,1437,1522,1.0
537,1437,1526,2.0
166,1437,1527,1.0
1424,1437,1527,1.0
1426,1437,1527,1.0
1435,1437,1527,3.0
1439,1437,1527,5.0
1222,1437,1582,2.0
1225,1437,1582,1.0
164,1437,1599,1.0
166,1437,1599,9.0
5439,1437,1599,3.0
5064,1437,1603,1.0
5152,1437,1603,1.0
185,1437,1604,2.0
1240,1437,1617,1.0
5438,1437,1617,4.0
4954,1437,1628,3.0
4965,1437,1628,1.0
5439,1437,1698,3.0
5439,1437,1707,3.0
5438,1437,1764,4.0
5110,1437,1787,1.0
1310,1437,1840,1.0
1312,1437,1840,1.0
4641,1437,1840,1.0
5438,1437,1845,2.0
1239,1437,1857,2.0
5439,1437,1857,3.0
1436,1438,1448,1.0
1438,1438,1467,1.0
1452,1438,1471,1.0
1453,1438,1489,1.0
412,1438,1501,1.0
1394,1438,1510,6.0
4724,1438,1516,1.0
1379,1438,1517,1.0
1383,1438,1517,2.0
1392,1438,1519,4.0
1414,1438,1519,2.0
1420,1438,1519,12.0
1433,1438,1519,18.0
4728,1438,1524,1.0
1697,1439,1443,1.0
4786,1439,1448,1.0
4848,1439,1451,1.0
1641,1439,1453,7.0
4308,1439,1453,1.0
4330,1439,1453,1.0
4535,1439,1453,1.0
4545,1439,1453,2.0
4548,1439,1453,2.0
4561,1439,1453,1.0
4771,1439,1462,1.0
1737,1439,1479,2.0
4858,1439,1479,1.0
1415,1439,1480,4.0
1398,1439,1482,2.0
4370,1439,1492,1.0
1392,1439,1498,3.0
1398,1439,1498,2.0
1419,1439,1498,2.0
1422,1439,1498,1.0
1424,1439,1498,2.0
1427,1439,1498,2.0
1433,1439,1498,1.0
1392,1439,1513,1.0
1034,1439,1526,1.0
1421,1439,1528,2.0
1425,1439,1528,1.0
1427,1439,1528,1.0
1429,1439,1528,1.0
4760,1439,1528,1.0
1068,1439,1531,2.0
4358,1439,1590,1.0
4358,1439,1640,1.0
1814,1439,1660,1.0
4371,1439,1698,1.0
4371,1439,1707,1.0
4388,1439,1707,1.0
4307,1439,1761,1.0
1785,1439,1840,2.0
4334,1439,1894,2.0
5417,1440,1269,1.0
5463,1440,1269,5.0
5472,1440,1269,1.0
5402,1440,1448,1.0
1535,1440,1458,1.0
1537,1440,1458,2.0
1540,1440,1458,1.0
1674,1440,1458,1.0
5225,1440,1477,3.0
5229,1440,1477,2.0
5287,1440,1477,2.0
5370,1440,1477,2.0
4771,1440,1479,1.0
4776,1440,1491,1.0
5525,1440,1491,1.0
4738,1440,1502,1.0
4820,1440,1513,1.0
5483,1440,1718,1.0
4434,1440,1854,2.0
5527,1440,1874,1.0
5483,1440,1889,1.0
5525,1440,1914,1.0
5527,1440,1914,1.0
5532,1440,1914,1.0
5534,1440,1914,7.0
5543,1440,1914,1.0
4402,1441,1269,1.0
4795,1441,1444,1.0
4780,1441,1451,1.0
4912,1441,1452,1.0
5414,1441,1457,1.0
1371,1441,1458,1.0
5401,1441,1459,1.0
1185,1441,1461,7.0
1193,1441,1461,12.0
1206,1441,1461,4.0
407,1441,1464,3.0
411,1441,1464,2.0
431,1441,1464,5.0
439,1441,1464,2.0
469,1441,1464,1.0
4809,1441,1466,1.0
1018,1441,1467,1.0
4776,1441,1470,1.0
4719,1441,1479,1.0
4858,1441,1479,1.0
1416,1441,1482,1.0
4719,1441,1485,1.0
1385,1441,1487,1.0
393,1441,1489,1.0
438,1441,1489,1.0
536,1441,1489,1.0
573,1441,1489,8.0
725,1441,1489,1.0
783,1441,1489,1.0
788,1441,1489,1.0
824,1441,1489,1.0
828,1441,1489,2.0
832,1441,1489,1.0
836,1441,1489,1.0
838,1441,1489,2.0
841,1441,1489,1.0
889,1441,1489,1.0
892,1441,1489,2.0
909,1441,1489,1.0
911,1441,1489,3.0
915,1441,1489,4.0
930,1441,1489,1.0
937,1441,1489,1.0
941,1441,1489,1.0
947,1441,1489,2.0
950,1441,1489,3.0
954,1441,1489,1.0
957,1441,1489,4.0
1180,1441,1489,2.0
1360,1441,1489,2.0
1365,1441,1489,5.0
1521,1441,1489,1.0
5453,1441,1489,15.0
4707,1441,1491,1.0
4764,1441,1492,2.0
4876,1441,1492,3.0
5431,1441,1501,1.0
4934,1441,1507,32.0
1041,1441,1510,4.0
1046,1441,1510,1.0
471,1441,1514,1.0
473,1441,1514,12.0
487,1441,1514,1.0
489,1441,1514,4.0
461,1441,1517,1.0
4757,1441,1517,1.0
4759,1441,1517,5.0
4788,1441,1517,1.0
4793,1441,1517,1.0
4992,1441,1524,1.0
1124,1441,1526,2.0
1245,1441,1526,3.0
414,1441,1527,1.0
1180,1441,1529,1.0
4747,1441,1532,1.0
5466,1441,1585,3.0
314,1441,1592,1.0
5050,1441,1598,1.0
4681,1441,1609,1.0
383,1441,1617,2.0
386,1441,1617,2.0
1231,1441,1617,2.0
1241,1441,1617,7.0
1250,1441,1617,2.0
1287,1441,1617,13.0
1335,1441,1617,7.0
4407,1441,1617,1.0
