t,i,j,τ
722,15,29,2.0
237,15,95,1.0
718,15,95,1.0
722,15,95,3.0
730,15,95,4.0
738,15,95,2.0
743,15,95,1.0
1490,15,95,1.0
1545,15,95,1.0
1742,15,95,1.0
4617,15,95,2.0
4635,15,95,3.0
4648,15,95,1.0
4651,15,95,1.0
6050,15,95,11.0
13977,15,95,1.0
13980,15,95,1.0
14017,15,95,2.0
14516,15,95,1.0
14806,15,95,2.0
14810,15,95,1.0
14813,15,95,2.0
14820,15,95,1.0
14824,15,95,1.0
35178,15,95,5.0
35185,15,95,1.0
35188,15,95,6.0
35195,15,95,2.0
35200,15,95,1.0
35202,15,95,1.0
35204,15,95,4.0
35209,15,95,14.0
35231,15,95,1.0
1742,15,123,1.0
4767,15,123,2.0
8966,15,123,2.0
8996,15,123,1.0
9041,15,123,2.0
9045,15,123,1.0
9062,15,123,6.0
9163,15,123,1.0
17921,15,123,1.0
19113,15,123,1.0
19125,15,123,1.0
19134,15,123,1.0
19136,15,123,3.0
19151,15,123,3.0
34926,15,123,3.0
39763,15,123,1.0
44770,15,123,1.0
44781,15,123,1.0
44792,15,123,1.0
44839,15,123,1.0
44931,15,123,2.0
44935,15,123,1.0
6010,15,223,1.0
6015,15,223,5.0
9792,15,223,1.0
14550,15,223,1.0
17937,15,253,1.0
17942,15,253,2.0
17946,15,253,6.0
34927,15,253,1.0
34929,15,253,7.0
34939,15,253,1.0
34957,15,253,1.0
34995,15,253,1.0
35000,15,253,1.0
35010,15,253,1.0
35017,15,253,2.0
35044,15,253,1.0
35102,15,253,1.0
35111,15,253,1.0
35120,15,253,3.0
35124,15,253,1.0
35127,15,253,8.0
35165,15,253,1.0
35169,15,253,1.0
14454,15,267,1.0
1514,15,496,3.0
1544,15,496,1.0
952,17,21,1.0
1079,17,21,1.0
773,17,48,1.0
776,17,48,1.0
952,17,48,1.0
35497,17,48,2.0
39131,17,48,2.0
39142,17,48,1.0
9087,17,50,1.0
9394,17,50,3.0
31173,17,50,1.0
35553,17,50,1.0
35997,17,50,1.0
44863,17,50,1.0
778,17,66,9.0
47813,17,80,1.0
47831,17,80,3.0
8986,17,101,2.0
783,17,102,1.0
788,17,102,3.0
1435,17,102,1.0
1443,17,102,2.0
36235,17,102,2.0
40659,17,102,2.0
40662,17,102,2.0
35549,17,134,1.0
35553,17,134,2.0
44863,17,134,2.0
776,17,179,1.0
786,17,179,1.0
946,17,179,2.0
31162,17,179,1.0
31171,17,179,1.0
776,17,209,1.0
9409,17,209,1.0
35492,17,209,1.0
5760,17,335,1.0
5762,17,335,1.0
5764,17,335,2.0
5770,17,335,2.0
5774,17,335,2.0
6105,17,335,1.0
36241,17,335,1.0
39070,17,335,1.0
39119,17,335,1.0
39137,17,335,1.0
5302,17,496,1.0
1266,17,762,1.0
1281,17,762,2.0
5788,17,762,2.0
1089,17,771,1.0
9685,17,771,1.0
9801,17,771,1.0
10129,17,771,1.0
39082,17,804,2.0
39091,17,804,1.0
39096,17,804,7.0
39106,17,804,1.0
39111,17,804,2.0
39118,17,804,1.0
5754,17,875,1.0
34893,17,875,1.0
35931,17,875,1.0
39074,17,875,2.0
39143,17,875,1.0
39154,17,875,1.0
39924,21,29,1.0
788,21,48,1.0
952,21,48,1.0
1024,21,48,1.0
