t,i,j,C1,C2
0.0,1170,1644,MP*1,MP*1
1.0,1170,1613,MP*1,MP*1
13.0,1170,1644,MP*1,MP*1
19.0,1181,1651,MP*1,MP*1
23.0,1108,1190,MP*1,MP*1
31.0,1671,1672,MP*1,MP*1
32.0,1660,1662,MP*1,MP*1
33.0,803,849,PC*,PC*
34.0,1144,1644,MP*1,MP*1
35.0,656,682,PC,PC
36.0,1148,1644,MP*1,MP*1
36.0,1613,1672,MP*1,MP*1
36.0,656,682,PC,PC
36.0,1632,1671,MP*1,MP*1
37.0,1492,1613,MP*1,MP*1
37.0,656,682,PC,PC
37.0,1632,1671,MP*1,MP*1
38.0,1148,1644,MP*1,MP*1
39.0,656,682,PC,PC
39.0,1108,1601,MP*1,MP*1
39.0,1632,1671,MP*1,MP*1
39.0,626,698,PC,PC
39.0,1148,1644,MP*1,MP*1
40.0,1148,1644,MP*1,MP*1
40.0,1108,1601,MP*1,MP*1
40.0,656,682,PC,PC
40.0,1632,1671,MP*1,MP*1
41.0,1148,1644,MP*1,MP*1
41.0,1632,1671,MP*1,MP*1
42.0,1632,1671,MP*1,MP*1
43.0,683,692,PC,PC
44.0,610,692,PC,PC
44.0,636,643,PC,PC
44.0,683,692,PC,PC
44.0,1632,1671,MP*1,MP*1
44.0,654,694,PC,PC
45.0,683,692,PC,PC
45.0,654,694,PC,PC
46.0,1632,1671,MP*1,MP*1
46.0,654,694,PC,PC
47.0,626,698,PC,PC
47.0,1632,1671,MP*1,MP*1
47.0,654,694,PC,PC
48.0,1632,1671,MP*1,MP*1
48.0,654,694,PC,PC
49.0,654,694,PC,PC
50.0,610,623,PC,PC
50.0,683,692,PC,PC
50.0,654,694,PC,PC
51.0,683,692,PC,PC
51.0,636,643,PC,PC
51.0,654,694,PC,PC
52.0,683,692,PC,PC
52.0,654,694,PC,PC
53.0,610,623,PC,PC
53.0,683,692,PC,PC
53.0,654,694,PC,PC
54.0,610,623,PC,PC
54.0,683,692,PC,PC
54.0,1632,1671,MP*1,MP*1
54.0,654,694,PC,PC
55.0,683,692,PC,PC
55.0,1632,1671,MP*1,MP*1
55.0,654,694,PC,PC
56.0,683,692,PC,PC
56.0,1632,1671,MP*1,MP*1
57.0,1632,1671,MP*1,MP*1
58.0,683,692,PC,PC
59.0,683,692,PC,PC
60.0,683,692,PC,PC
61.0,683,692,PC,PC
61.0,654,694,PC,PC
62.0,683,692,PC,PC
63.0,683,692,PC,PC
64.0,683,692,PC,PC
65.0,683,692,PC,PC
66.0,683,692,PC,PC
66.0,1632,1671,MP*1,MP*1
67.0,683,692,PC,PC
68.0,683,692,PC,PC
68.0,1632,1671,MP*1,MP*1
70.0,683,692,PC,PC
71.0,683,692,PC,PC
72.0,683,692,PC,PC
73.0,683,692,PC,PC
74.0,683,692,PC,PC
74.0,654,694,PC,PC
75.0,683,692,PC,PC
75.0,654,694,PC,PC
76.0,683,692,PC,PC
78.0,683,692,PC,PC
79.0,683,692,PC,PC
83.0,636,643,PC,PC
83.0,1632,1671,MP*1,MP*1
84.0,683,692,PC,PC
84.0,636,643,PC,PC
85.0,683,692,PC,PC
86.0,683,692,PC,PC
89.0,683,692,PC,PC
92.0,683,692,PC,PC
92.0,1644,1662,MP*1,MP*1
92.0,654,694,PC,PC
93.0,683,692,PC,PC
93.0,1644,1662,MP*1,MP*1
93.0,654,694,PC,PC
94.0,1644,1662,MP*1,MP*1
94.0,654,694,PC,PC
95.0,652,661,PC,PC
95.0,683,692,PC,PC
95.0,654,694,PC,PC
96.0,683,692,PC,PC
97.0,683,692,PC,PC
97.0,1644,1662,MP*1,MP*1
97.0,654,694,PC,PC
98.0,683,692,PC,PC
98.0,654,694,PC,PC
99.0,683,692,PC,PC
100.0,683,692,PC,PC
100.0,654,694,PC,PC
102.0,1108,1601,MP*1,MP*1
103.0,616,661,PC,PC
104.0,616,661,PC,PC
104.0,613,658,PC,PC
104.0,654,694,PC,PC
105.0,654,694,PC,PC
106.0,658,698,PC,PC
106.0,692,698,PC,PC
106.0,654,694,PC,PC
106.0,613,698,PC,PC
106.0,610,658,PC,PC
107.0,610,623,PC,PC
107.0,654,694,PC,PC
108.0,1170,1672,MP*1,MP*1
108.0,654,694,PC,PC
109.0,616,661,PC,PC
109.0,654,694,PC,PC
109.0,613,658,PC,PC
109.0,610,658,PC,PC
110.0,616,661,PC,PC
110.0,613,658,PC,PC
111.0,613,658,PC,PC
112.0,1108,1601,MP*1,MP*1
112.0,613,658,PC,PC
112.0,654,694,PC,PC
113.0,610,658,PC,PC
113.0,654,694,PC,PC
113.0,1108,1601,MP*1,MP*1
113.0,626,698,PC,PC
114.0,1170,1672,MP*1,MP*1
114.0,636,643,PC,PC
114.0,626,698,PC,PC
115.0,626,698,PC,PC
116.0,610,658,PC,PC
116.0,626,698,PC,PC
116.0,1108,1601,MP*1,MP*1
116.0,654,694,PC,PC
117.0,652,661,PC,PC
117.0,626,698,PC,PC
118.0,1108,1601,MP*1,MP*1
118.0,626,698,PC,PC
118.0,613,658,PC,PC
118.0,1632,1671,MP*1,MP*1
118.0,654,694,PC,PC
119.0,626,698,PC,PC
119.0,654,694,PC,PC
120.0,654,694,PC,PC
120.0,613,658,PC,PC
120.0,626,698,PC,PC
121.0,652,661,PC,PC
121.0,1170,1672,MP*1,MP*1
121.0,613,658,PC,PC
121.0,626,698,PC,PC
122.0,652,661,PC,PC
122.0,613,658,PC,PC
122.0,651,694,PC,PC
122.0,626,698,PC,PC
122.0,1613,1672,MP*1,MP*1
122.0,1170,1672,MP*1,MP*1
122.0,654,694,PC,PC
123.0,652,661,PC,PC
123.0,613,658,PC,PC
123.0,626,698,PC,PC
123.0,1613,1629,MP*1,MP*1
123.0,1613,1672,MP*1,MP*1
123.0,654,694,PC,PC
124.0,626,698,PC,PC
124.0,654,694,PC,PC
125.0,1492,1613,MP*1,MP*1
125.0,1164,1657,MP*1,MP*1
125.0,1632,1671,MP*1,MP*1
125.0,654,694,PC,PC
126.0,1170,1672,MP*1,MP*1
126.0,613,658,PC,PC
126.0,1164,1657,MP*1,MP*1
127.0,652,661,PC,PC
127.0,654,694,PC,PC
128.0,652,661,PC,PC
128.0,1170,1672,MP*1,MP*1
128.0,626,698,PC,PC
129.0,652,661,PC,PC
129.0,1632,1671,MP*1,MP*1
129.0,626,698,PC,PC
130.0,1492,1613,MP*1,MP*1
130.0,652,661,PC,PC
130.0,1622,1657,MP*1,MP*1
130.0,1190,1658,MP*1,MP*1
130.0,626,698,PC,PC
131.0,1622,1657,MP*1,MP*1
131.0,1190,1658,MP*1,MP*1
131.0,683,692,PC,PC
131.0,626,698,PC,PC
132.0,652,661,PC,PC
132.0,1622,1657,MP*1,MP*1
132.0,626,698,PC,PC
133.0,652,661,PC,PC
133.0,626,698,PC,PC
134.0,652,661,PC,PC
134.0,1632,1671,MP*1,MP*1
134.0,626,698,PC,PC
135.0,1632,1671,MP*1,MP*1
135.0,626,698,PC,PC
136.0,1671,1672,MP*1,MP*1
136.0,1632,1671,MP*1,MP*1
136.0,626,698,PC,PC
137.0,613,658,PC,PC
137.0,626,698,PC,PC
138.0,1170,1672,MP*1,MP*1
138.0,626,698,PC,PC
138.0,613,658,PC,PC
138.0,654,694,PC,PC
139.0,1170,1672,MP*1,MP*1
139.0,613,658,PC,PC
140.0,654,694,PC,PC
140.0,626,698,PC,PC
141.0,1170,1672,MP*1,MP*1
141.0,626,698,PC,PC
141.0,613,658,PC,PC
141.0,654,694,PC,PC
142.0,654,694,PC,PC
142.0,613,658,PC,PC
142.0,626,698,PC,PC
143.0,1170,1672,MP*1,MP*1
143.0,1657,1679,MP*1,MP*1
143.0,613,658,PC,PC
143.0,626,698,PC,PC
144.0,626,698,PC,PC
145.0,652,661,PC,PC
145.0,626,698,PC,PC
146.0,652,661,PC,PC
146.0,626,698,PC,PC
146.0,654,694,PC,PC
147.0,652,661,PC,PC
147.0,654,694,PC,PC
148.0,652,661,PC,PC
148.0,1170,1672,MP*1,MP*1
148.0,613,658,PC,PC
149.0,652,661,PC,PC
149.0,654,694,PC,PC
149.0,613,658,PC,PC
149.0,626,698,PC,PC
150.0,652,661,PC,PC
150.0,613,658,PC,PC
151.0,683,692,PC,PC
151.0,626,698,PC,PC
152.0,613,658,PC,PC
152.0,654,694,PC,PC
153.0,613,658,PC,PC
153.0,654,694,PC,PC
154.0,1671,1672,MP*1,MP*1
154.0,654,694,PC,PC
155.0,1657,1679,MP*1,MP*1
155.0,654,694,PC,PC
156.0,1657,1679,MP*1,MP*1
156.0,613,658,PC,PC
156.0,654,694,PC,PC
157.0,1170,1672,MP*1,MP*1
157.0,613,658,PC,PC
157.0,1657,1679,MP*1,MP*1
158.0,1170,1672,MP*1,MP*1
158.0,1657,1679,MP*1,MP*1
159.0,1108,1613,MP*1,MP*1
159.0,1657,1679,MP*1,MP*1
159.0,1108,1601,MP*1,MP*1
159.0,654,694,PC,PC
160.0,1108,1613,MP*1,MP*1
160.0,1108,1601,MP*1,MP*1
160.0,613,658,PC,PC
160.0,626,698,PC,PC
160.0,1657,1679,MP*1,MP*1
160.0,1651,1674,MP*1,MP*1
160.0,654,694,PC,PC
161.0,1108,1613,MP*1,MP*1
161.0,626,698,PC,PC
161.0,1657,1679,MP*1,MP*1
162.0,1108,1613,MP*1,MP*1
162.0,1657,1679,MP*1,MP*1
163.0,1108,1613,MP*1,MP*1
163.0,1657,1679,MP*1,MP*1
163.0,626,698,PC,PC
164.0,1108,1613,MP*1,MP*1
164.0,1657,1679,MP*1,MP*1
165.0,613,658,PC,PC
165.0,1657,1679,MP*1,MP*1
166.0,613,658,PC,PC
166.0,1657,1679,MP*1,MP*1
167.0,683,692,PC,PC
167.0,654,694,PC,PC
167.0,613,658,PC,PC
167.0,1632,1671,MP*1,MP*1
167.0,1657,1679,MP*1,MP*1
168.0,1657,1679,MP*1,MP*1
168.0,1632,1671,MP*1,MP*1
168.0,654,694,PC,PC
169.0,1108,1613,MP*1,MP*1
169.0,1632,1671,MP*1,MP*1
170.0,654,694,PC,PC
171.0,654,694,PC,PC
172.0,652,661,PC,PC
172.0,654,694,PC,PC
173.0,652,661,PC,PC
173.0,616,652,PC,PC
173.0,613,658,PC,PC
173.0,654,694,PC,PC
174.0,652,661,PC,PC
174.0,613,658,PC,PC
174.0,654,694,PC,PC
175.0,652,661,PC,PC
175.0,654,694,PC,PC
176.0,654,694,PC,PC
176.0,626,698,PC,PC
177.0,610,623,PC,PC
177.0,654,694,PC,PC
177.0,626,698,PC,PC
178.0,1632,1671,MP*1,MP*1
178.0,654,694,PC,PC
179.0,1632,1671,MP*1,MP*1
179.0,651,694,PC,PC
180.0,1632,1671,MP*1,MP*1
181.0,1492,1613,MP*1,MP*1
181.0,1632,1671,MP*1,MP*1
182.0,1632,1671,MP*1,MP*1
183.0,1190,1658,MP*1,MP*1
183.0,610,658,PC,PC
184.0,1144,1662,MP*1,MP*1
184.0,610,658,PC,PC
185.0,1613,1629,MP*1,MP*1
185.0,610,658,PC,PC
186.0,1632,1671,MP*1,MP*1
187.0,654,694,PC,PC
188.0,1660,1679,MP*1,MP*1
188.0,654,694,PC,PC
189.0,1660,1679,MP*1,MP*1
189.0,1632,1671,MP*1,MP*1
189.0,654,694,PC,PC
191.0,1622,1657,MP*1,MP*1
191.0,1632,1671,MP*1,MP*1
191.0,1657,1679,MP*1,MP*1
192.0,1622,1657,MP*1,MP*1
192.0,1632,1671,MP*1,MP*1
193.0,1622,1657,MP*1,MP*1
193.0,1164,1657,MP*1,MP*1
194.0,1622,1657,MP*1,MP*1
194.0,1164,1657,MP*1,MP*1
194.0,654,694,PC,PC
195.0,1622,1657,MP*1,MP*1
195.0,1657,1679,MP*1,MP*1
195.0,1164,1657,MP*1,MP*1
195.0,654,694,PC,PC
196.0,1622,1657,MP*1,MP*1
196.0,654,694,PC,PC
197.0,1622,1657,MP*1,MP*1
198.0,1622,1657,MP*1,MP*1
198.0,683,692,PC,PC
198.0,654,694,PC,PC
199.0,1622,1657,MP*1,MP*1
199.0,1164,1657,MP*1,MP*1
199.0,654,694,PC,PC
200.0,613,658,PC,PC
200.0,1622,1657,MP*1,MP*1
200.0,1164,1657,MP*1,MP*1
201.0,1622,1657,MP*1,MP*1
201.0,1164,1657,MP*1,MP*1
202.0,1622,1657,MP*1,MP*1
202.0,613,658,PC,PC
203.0,1108,1613,MP*1,MP*1
203.0,1164,1657,MP*1,MP*1
203.0,1622,1657,MP*1,MP*1
203.0,613,658,PC,PC
203.0,609,690,PC,PC
204.0,609,690,PC,PC
204.0,1622,1657,MP*1,MP*1
204.0,1164,1657,MP*1,MP*1
204.0,1651,1674,MP*1,MP*1
205.0,600,609,PC,PC
205.0,1622,1657,MP*1,MP*1
205.0,1164,1657,MP*1,MP*1
206.0,1144,1662,MP*1,MP*1
206.0,1622,1657,MP*1,MP*1
206.0,613,658,PC,PC
206.0,654,694,PC,PC
207.0,1622,1657,MP*1,MP*1
207.0,613,658,PC,PC
207.0,654,694,PC,PC
208.0,600,609,PC,PC
208.0,609,690,PC,PC
208.0,1622,1657,MP*1,MP*1
209.0,600,609,PC,PC
209.0,1144,1662,MP*1,MP*1
209.0,1622,1657,MP*1,MP*1
210.0,600,609,PC,PC
210.0,1622,1657,MP*1,MP*1
211.0,600,609,PC,PC
211.0,1622,1657,MP*1,MP*1
211.0,1164,1657,MP*1,MP*1
212.0,600,609,PC,PC
212.0,1622,1657,MP*1,MP*1
212.0,613,658,PC,PC
213.0,600,609,PC,PC
213.0,1170,1672,MP*1,MP*1
213.0,1622,1657,MP*1,MP*1
213.0,654,694,PC,PC
214.0,609,690,PC,PC
214.0,1622,1657,MP*1,MP*1
214.0,654,694,PC,PC
215.0,609,690,PC,PC
215.0,1144,1662,MP*1,MP*1
215.0,1622,1657,MP*1,MP*1
215.0,654,694,PC,PC
216.0,609,690,PC,PC
216.0,1144,1662,MP*1,MP*1
216.0,1622,1657,MP*1,MP*1
216.0,1632,1671,MP*1,MP*1
216.0,654,694,PC,PC
217.0,1622,1657,MP*1,MP*1
217.0,1108,1601,MP*1,MP*1
217.0,651,694,PC,PC
217.0,609,690,PC,PC
217.0,1632,1671,MP*1,MP*1
217.0,1170,1672,MP*1,MP*1
218.0,1144,1662,MP*1,MP*1
218.0,1622,1657,MP*1,MP*1
218.0,1108,1601,MP*1,MP*1
218.0,1632,1671,MP*1,MP*1
218.0,609,690,PC,PC
218.0,654,694,PC,PC
219.0,652,661,PC,PC
219.0,1622,1657,MP*1,MP*1
219.0,1108,1601,MP*1,MP*1
219.0,1632,1671,MP*1,MP*1
219.0,609,690,PC,PC
219.0,654,694,PC,PC
220.0,613,658,PC,PC
220.0,1622,1657,MP*1,MP*1
220.0,1164,1657,MP*1,MP*1
220.0,654,694,PC,PC
221.0,1144,1662,MP*1,MP*1
221.0,1622,1657,MP*1,MP*1
221.0,613,658,PC,PC
221.0,1632,1671,MP*1,MP*1
221.0,609,690,PC,PC
221.0,1613,1632,MP*1,MP*1
221.0,654,694,PC,PC
222.0,609,690,PC,PC
222.0,1622,1657,MP*1,MP*1
222.0,654,694,PC,PC
222.0,613,658,PC,PC
222.0,610,658,PC,PC
223.0,609,690,PC,PC
223.0,1622,1657,MP*1,MP*1
223.0,613,658,PC,PC
223.0,654,694,PC,PC
224.0,609,690,PC,PC
224.0,1622,1657,MP*1,MP*1
224.0,613,658,PC,PC
224.0,654,694,PC,PC
225.0,609,690,PC,PC
225.0,1108,1601,MP*1,MP*1
225.0,1622,1657,MP*1,MP*1
225.0,613,658,PC,PC
226.0,609,690,PC,PC
226.0,1622,1657,MP*1,MP*1
226.0,1108,1601,MP*1,MP*1
226.0,654,694,PC,PC
227.0,609,690,PC,PC
227.0,1622,1657,MP*1,MP*1
227.0,1108,1601,MP*1,MP*1
227.0,654,694,PC,PC
228.0,609,690,PC,PC
228.0,1622,1657,MP*1,MP*1
