t,i,j
0.0,71,81
2.0,79,9
2.0,4,84
2.0,31,37
3.0,79,9
4.0,79,9
4.0,31,37
5.0,31,37
5.0,79,9
6.0,71,81
7.0,79,9
8.0,79,9
10.0,71,81
11.0,57,2
11.0,71,81
12.0,71,81
13.0,65,37
13.0,71,81
14.0,71,81
14.0,34,14
15.0,71,81
16.0,71,81
17.0,79,9
17.0,71,81
18.0,71,81
19.0,71,81
20.0,78,38
21.0,57,2
24.0,68,2
25.0,68,2
26.0,71,81
26.0,18,59
26.0,68,2
27.0,68,2
27.0,18,59
27.0,43,11
28.0,68,2
29.0,43,11
29.0,59,3
29.0,71,81
29.0,68,2
30.0,71,81
30.0,43,11
30.0,68,2
30.0,59,3
31.0,71,81
31.0,54,84
31.0,43,11
31.0,66,23
31.0,68,2
32.0,66,23
32.0,43,11
32.0,54,84
32.0,71,81
33.0,71,81
33.0,66,23
34.0,66,23
34.0,43,11
34.0,71,81
34.0,18,59
35.0,18,59
35.0,66,23
35.0,71,81
36.0,18,59
36.0,71,81
36.0,68,2
37.0,66,23
37.0,18,59
37.0,71,81
37.0,68,2
38.0,18,59
38.0,66,23
38.0,71,81
39.0,18,59
39.0,71,81
39.0,66,23
39.0,57,2
40.0,18,59
40.0,66,23
40.0,71,81
40.0,27,36
40.0,49,45
40.0,8,51
41.0,27,36
41.0,8,51
41.0,66,23
41.0,27,30
41.0,49,45
41.0,71,81
41.0,18,59
41.0,36,30
42.0,71,81
42.0,12,70
42.0,8,51
42.0,27,36
42.0,49,45
42.0,66,23
42.0,18,59
42.0,27,30
43.0,49,45
43.0,66,23
43.0,27,30
43.0,71,81
43.0,50,30
43.0,18,59
43.0,8,51
44.0,8,51
44.0,27,30
44.0,50,30
44.0,49,45
44.0,18,59
45.0,71,81
45.0,50,30
45.0,18,59
45.0,8,51
45.0,66,23
45.0,27,30
45.0,49,45
46.0,50,30
46.0,18,59
46.0,49,45
46.0,71,81
46.0,27,30
46.0,8,51
47.0,18,59
47.0,34,14
47.0,49,45
47.0,27,30
47.0,8,51
48.0,8,51
48.0,34,14
48.0,49,45
48.0,71,81
48.0,18,59
48.0,27,30
48.0,24,84
49.0,4,84
49.0,27,30
49.0,71,81
49.0,8,51
49.0,18,59
49.0,24,84
49.0,66,23
49.0,49,45
50.0,18,59
50.0,4,84
50.0,49,45
50.0,8,51
50.0,66,23
50.0,71,81
50.0,27,30
50.0,81,82
51.0,40,60
51.0,8,51
51.0,66,23
51.0,18,59
51.0,49,45
51.0,4,84
52.0,18,59
52.0,66,23
52.0,27,30
52.0,4,84
52.0,49,45
52.0,8,51
53.0,18,59
53.0,8,51
53.0,66,23
53.0,40,60
53.0,4,84
53.0,49,45
54.0,49,45
54.0,8,51
54.0,18,59
54.0,66,23
55.0,34,14
55.0,66,23
55.0,8,51
55.0,49,45
56.0,8,51
56.0,49,45
56.0,18,59
56.0,66,23
56.0,81,52
56.0,4,84
56.0,79,9
57.0,50,36
57.0,66,23
57.0,81,52
57.0,49,45
57.0,8,51
58.0,49,45
58.0,67,8
58.0,8,51
58.0,4,84
59.0,8,51
59.0,18,59
59.0,66,23
59.0,49,45
60.0,8,51
60.0,18,59
60.0,66,23
60.0,49,45
61.0,8,51
61.0,66,23
61.0,18,59
62.0,8,51
62.0,18,59
62.0,49,45
62.0,66,23
63.0,8,51
63.0,61,76
63.0,49,45
63.0,18,59
64.0,8,51
64.0,63,54
64.0,49,45
65.0,8,51
65.0,65,37
65.0,40,60
65.0,4,84
65.0,49,45
66.0,4,84
66.0,50,36
66.0,8,51
66.0,40,60
67.0,15,48
67.0,67,8
67.0,4,84
67.0,8,51
67.0,40,60
68.0,4,84
68.0,8,51
68.0,15,48
68.0,40,60
69.0,40,60
69.0,15,48
69.0,8,51
69.0,67,8
70.0,8,51
70.0,40,60
70.0,78,38
70.0,66,23
71.0,66,23
71.0,63,70
71.0,40,60
71.0,15,48
71.0,8,51
72.0,81,52
72.0,40,60
72.0,15,48
72.0,66,23
73.0,63,70
73.0,40,60
73.0,15,48
73.0,66,23
74.0,66,23
74.0,15,48
74.0,40,60
74.0,57,2
74.0,78,38
75.0,40,60
75.0,66,23
76.0,40,60
76.0,66,23
76.0,57,2
77.0,40,60
77.0,28,36
78.0,66,23
78.0,40,60
78.0,28,36
78.0,61,76
79.0,40,60
79.0,49,45
79.0,61,76
79.0,28,36
79.0,8,51
80.0,40,60
80.0,28,36
81.0,40,60
81.0,28,36
82.0,28,36
82.0,40,60
82.0,34,14
82.0,66,23
83.0,8,51
83.0,40,60
84.0,40,60
85.0,67,8
85.0,8,51
86.0,66,23
87.0,28,36
87.0,66,23
88.0,28,36
88.0,66,23
89.0,61,76
89.0,66,23
89.0,28,36
90.0,28,36
90.0,66,23
91.0,12,81
91.0,81,52
91.0,12,52
91.0,66,23
92.0,50,28
92.0,66,23
92.0,81,52
92.0,12,81
93.0,66,23
94.0,66,23
95.0,66,23
96.0,66,23
97.0,66,23
98.0,78,38
98.0,66,23
99.0,78,38
99.0,12,81
99.0,28,36
99.0,81,23
99.0,66,23
100.0,81,52
100.0,66,23
100.0,50,28
100.0,12,81
100.0,28,36
100.0,78,38
101.0,78,38
101.0,81,52
101.0,66,23
101.0,12,81
102.0,78,38
102.0,34,14
102.0,66,23
102.0,81,52
103.0,66,23
103.0,81,52
104.0,67,8
104.0,12,81
104.0,66,23
104.0,78,38
104.0,81,52
105.0,28,36
105.0,12,81
105.0,81,52
106.0,81,52
106.0,65,37
106.0,12,81
106.0,28,36
106.0,66,23
107.0,28,36
107.0,65,37
108.0,65,37
108.0,28,36
109.0,29,1
109.0,65,37
109.0,28,36
110.0,29,1
110.0,28,36
110.0,67,8
110.0,24,84
110.0,65,37
111.0,13,53
111.0,65,37
111.0,12,23
