t,i,j,τ
22322,1,3,1.0
35373,1,13,1.0
43628,1,13,2.0
43679,1,13,1.0
44387,1,13,1.0
44390,1,13,2.0
34357,1,20,4.0
219,1,33,3.0
223,1,33,1.0
225,1,33,9.0
235,1,33,4.0
1278,1,33,2.0
1432,1,33,2.0
1439,1,33,40.0
2864,1,33,1.0
3891,1,33,1.0
5536,1,33,14.0
5553,1,33,3.0
5644,1,33,17.0
5662,1,33,3.0
5666,1,33,1.0
5692,1,33,4.0
7897,1,33,2.0
8738,1,33,1.0
8841,1,33,3.0
9166,1,33,3.0
9182,1,33,1.0
9184,1,33,5.0
9192,1,33,1.0
10012,1,33,1.0
11827,1,33,1.0
12077,1,33,4.0
13079,1,33,3.0
13097,1,33,5.0
13605,1,33,1.0
13607,1,33,1.0
14292,1,33,3.0
14303,1,33,1.0
14316,1,33,4.0
14321,1,33,1.0
14328,1,33,1.0
14333,1,33,4.0
14340,1,33,7.0
14353,1,33,9.0
14374,1,33,2.0
16246,1,33,2.0
16251,1,33,1.0
16257,1,33,1.0
16260,1,33,2.0
16479,1,33,1.0
16494,1,33,2.0
17426,1,33,2.0
17673,1,33,1.0
18602,1,33,2.0
18637,1,33,3.0
18710,1,33,1.0
18732,1,33,2.0
18739,1,33,39.0
21557,1,33,1.0
24784,1,33,1.0
25218,1,33,1.0
25281,1,33,1.0
27173,1,33,1.0
27175,1,33,1.0
27195,1,33,1.0
27211,1,33,1.0
27222,1,33,5.0
27228,1,33,10.0
27244,1,33,3.0
27259,1,33,1.0
27261,1,33,1.0
27264,1,33,1.0
27563,1,33,1.0
29400,1,33,1.0
30380,1,33,1.0
30526,1,33,2.0
31155,1,33,2.0
31493,1,33,3.0
31500,1,33,2.0
31508,1,33,1.0
31510,1,33,8.0
31519,1,33,2.0
31524,1,33,6.0
31537,1,33,1.0
31539,1,33,2.0
31542,1,33,1.0
31544,1,33,7.0
31583,1,33,1.0
34441,1,33,2.0
35230,1,33,3.0
35667,1,33,2.0
35726,1,33,4.0
35731,1,33,2.0
35752,1,33,2.0
35760,1,33,2.0
35767,1,33,1.0
35772,1,33,4.0
35788,1,33,1.0
35798,1,33,4.0
38108,1,33,3.0
38576,1,33,29.0
39523,1,33,1.0
40251,1,33,1.0
40257,1,33,3.0
40263,1,33,3.0
40267,1,33,1.0
40269,1,33,1.0
40317,1,33,1.0
43556,1,33,2.0
43561,1,33,1.0
43565,1,33,2.0
43568,1,33,1.0
43572,1,33,2.0
43576,1,33,2.0
44635,1,33,2.0
44643,1,33,3.0
44648,1,33,16.0
44685,1,33,1.0
46947,1,33,1.0
46952,1,33,2.0
47837,1,33,2.0
48237,1,33,1.0
48786,1,33,1.0
48792,1,33,2.0
48796,1,33,2.0
48800,1,33,1.0
48850,1,33,1.0
48898,1,33,1.0
48920,1,33,1.0
50916,1,33,1.0
50918,1,33,1.0
51792,1,33,1.0
52984,1,33,2.0
53006,1,33,1.0
53103,1,33,7.0
53113,1,33,20.0
53136,1,33,1.0
53138,1,33,7.0
53147,1,33,1.0
53153,1,33,2.0
53159,1,33,2.0
53165,1,33,15.0
53181,1,33,4.0
53238,1,33,1.0
53245,1,33,4.0
53252,1,33,1.0
53254,1,33,1.0
53262,1,33,1.0
53266,1,33,1.0
53268,1,33,2.0
53276,1,33,1.0
55049,1,33,1.0
55051,1,33,3.0
55058,1,33,4.0
55068,1,33,1.0
56090,1,33,5.0
56800,1,33,5.0
56876,1,33,1.0
56984,1,33,7.0
56995,1,33,1.0
56997,1,33,1.0
57000,1,33,1.0
57006,1,33,7.0
57018,1,33,1.0
57022,1,33,3.0
57036,1,33,2.0
57042,1,33,2.0
57049,1,33,1.0
57051,1,33,2.0
57074,1,33,1.0
57176,1,33,3.0
57183,1,33,1.0
57185,1,33,5.0
57213,1,33,1.0
57220,1,33,3.0
57258,1,33,6.0
57267,1,33,7.0
57292,1,33,1.0
57373,1,33,1.0
57414,1,33,1.0
57419,1,33,2.0
57427,1,33,4.0
57445,1,33,1.0
57447,1,33,1.0
57449,1,33,1.0
57454,1,33,3.0
57480,1,33,2.0
57489,1,33,2.0
57494,1,33,1.0
57523,1,33,1.0
57531,1,33,1.0
57533,1,33,4.0
57538,1,33,1.0
57540,1,33,1.0
57555,1,33,3.0
57561,1,33,1.0
57593,1,33,1.0
57595,1,33,3.0
57600,1,33,1.0
57631,1,33,1.0
57633,1,33,1.0
57635,1,33,1.0
57638,1,33,9.0
57650,1,33,1.0
57652,1,33,1.0
57654,1,33,1.0
47566,1,51,1.0
3789,1,65,1.0
849,1,79,1.0
14251,1,83,1.0
18540,1,83,3.0
17301,1,86,1.0
34291,1,86,3.0
34302,1,86,1.0
34304,1,86,1.0
34366,1,86,3.0
34381,1,86,2.0
34387,1,86,2.0
26563,2,5,4.0
26573,2,5,2.0
31058,2,5,2.0
4068,2,42,1.0
7989,2,42,3.0
9168,2,42,1.0
9171,2,42,2.0
9174,2,42,1.0
9177,2,42,2.0
9183,2,42,1.0
9185,2,42,1.0
9194,2,42,1.0
9204,2,42,11.0
9222,2,42,3.0
9233,2,42,8.0
5079,2,47,2.0
539,2,69,3.0
25887,2,69,6.0
30389,2,69,1.0
38477,2,86,1.0
38485,2,86,3.0
39806,2,86,1.0
52872,2,86,1.0
136,4,70,13.0
452,4,70,3.0
464,4,70,5.0
1137,4,70,2.0
1142,4,70,1.0
1202,4,70,8.0
3863,4,70,1.0
3910,4,70,2.0
3943,4,70,4.0
4192,4,70,13.0
4209,4,70,2.0
4214,4,70,4.0
4235,4,70,1.0
4237,4,70,2.0
4353,4,70,1.0
4355,4,70,1.0
4361,4,70,1.0
4364,4,70,1.0
4366,4,70,6.0
4375,4,70,1.0
4378,4,70,2.0
4384,4,70,4.0
4389,4,70,2.0
4393,4,70,6.0
4400,4,70,2.0
4525,4,70,3.0
4878,4,70,1.0
17600,4,70,9.0
18213,4,70,5.0
25331,4,70,1.0
25336,4,70,2.0
25340,4,70,1.0
25359,4,70,10.0
25377,4,70,1.0
25380,4,70,1.0
25384,4,70,1.0
25391,4,70,1.0
25393,4,70,2.0
25459,4,70,1.0
25462,4,70,1.0
25549,4,70,1.0
25552,4,70,1.0
25556,4,70,1.0
25567,4,70,1.0
25569,4,70,1.0
25573,4,70,2.0
25577,4,70,1.0
25779,4,70,1.0
25792,4,70,1.0
25795,4,70,3.0
27081,4,70,2.0
27085,4,70,1.0
27095,4,70,9.0
27107,4,70,1.0
27109,4,70,6.0
27118,4,70,1.0
27120,4,70,1.0
27126,4,70,1.0
27129,4,70,2.0
27136,4,70,2.0
27139,4,70,1.0
27152,4,70,11.0
27164,4,70,2.0
27169,4,70,2.0
27172,4,70,1.0
27177,4,70,2.0
27181,4,70,2.0
27185,4,70,2.0
27188,4,70,2.0
27192,4,70,2.0
27200,4,70,1.0
27203,4,70,1.0
