t,i,j
0.0,492,938
2.0,267,272
24.0,181,826
48.0,79,181
59.0,150,196
60.0,21,150
62.0,21,205
62.0,21,150
62.0,448,826
62.0,765,826
73.0,39,253
73.0,80,253
77.0,123,845
78.0,118,311
78.0,95,118
78.0,80,95
78.0,123,845
78.0,95,311
79.0,118,311
79.0,80,118
79.0,95,118
79.0,123,845
79.0,95,311
80.0,118,311
80.0,95,118
80.0,95,311
80.0,123,845
81.0,118,311
81.0,118,771
81.0,95,771
81.0,311,771
81.0,95,118
81.0,123,845
81.0,95,311
82.0,118,311
82.0,21,205
82.0,95,771
82.0,95,118
82.0,123,845
82.0,95,311
82.0,118,771
83.0,118,311
83.0,95,771
83.0,95,118
83.0,123,845
83.0,95,311
84.0,123,845
85.0,123,845
85.0,153,205
86.0,123,845
87.0,123,845
87.0,164,311
88.0,123,845
91.0,21,179
91.0,123,845
95.0,311,481
120.0,79,122
137.0,39,120
138.0,39,120
140.0,39,120
141.0,39,120
143.0,39,120
144.0,39,120
151.0,122,448
152.0,122,448
153.0,122,448
154.0,122,448
154.0,21,150
160.0,39,120
161.0,39,120
162.0,39,120
163.0,39,120
164.0,39,120
169.0,39,120
172.0,39,120
173.0,39,120
174.0,39,120
174.0,21,150
175.0,39,120
176.0,39,120
177.0,120,819
224.0,431,778
226.0,271,601
229.0,431,778
233.0,431,778
237.0,431,778
237.0,15,95
242.0,56,194
243.0,56,194
245.0,194,786
245.0,194,311
246.0,311,786
247.0,311,786
248.0,194,786
249.0,194,786
249.0,194,311
250.0,311,786
250.0,194,786
251.0,311,786
252.0,311,786
252.0,194,786
253.0,194,786
257.0,194,786
257.0,311,786
258.0,194,786
260.0,95,311
260.0,95,205
261.0,271,601
261.0,21,603
261.0,205,311
262.0,95,311
263.0,95,311
268.0,95,123
272.0,205,311
275.0,150,271
276.0,150,271
280.0,311,496
284.0,21,431
288.0,79,275
288.0,271,601
288.0,222,267
288.0,50,179
289.0,222,267
290.0,222,267
291.0,271,601
291.0,222,267
292.0,222,267
293.0,150,601
296.0,120,172
296.0,271,448
297.0,271,601
298.0,29,271
299.0,120,223
300.0,271,601
301.0,271,601
302.0,271,601
303.0,271,601
304.0,271,601
305.0,120,172
305.0,271,601
306.0,271,601
307.0,271,601
308.0,271,601
309.0,271,601
310.0,271,601
311.0,271,601
312.0,271,601
316.0,271,601
317.0,271,601
318.0,271,601
324.0,271,601
337.0,271,601
338.0,271,601
340.0,116,123
340.0,271,601
341.0,271,601
348.0,29,95
349.0,123,253
353.0,123,253
358.0,123,253
372.0,120,172
373.0,120,172
375.0,79,253
384.0,311,496
385.0,311,496
389.0,285,762
390.0,285,762
395.0,285,762
396.0,285,762
397.0,285,762
400.0,123,253
402.0,285,762
406.0,150,601
424.0,285,762
430.0,150,762
431.0,29,79
431.0,150,762
432.0,150,762
433.0,150,762
434.0,150,762
451.0,116,826
474.0,63,481
476.0,120,172
477.0,120,172
483.0,63,481
484.0,762,771
484.0,63,481
485.0,63,481
486.0,63,481
487.0,63,481
489.0,63,481
490.0,63,481
493.0,63,481
494.0,63,481
495.0,63,481
498.0,63,481
499.0,63,481
502.0,63,481
542.0,56,939
542.0,50,335
547.0,123,253
556.0,778,826
557.0,778,826
575.0,223,496
580.0,123,253
581.0,29,56
582.0,29,56
583.0,29,56
584.0,29,56
585.0,29,56
587.0,95,819
587.0,123,253
587.0,29,56
587.0,116,778
609.0,105,113
615.0,223,496
634.0,172,311
635.0,120,311
639.0,105,113
639.0,172,311
640.0,120,172
640.0,172,311
642.0,120,311
643.0,105,113
660.0,105,113
661.0,113,513
661.0,123,253
662.0,123,253
663.0,105,113
668.0,113,513
668.0,172,311
669.0,172,311
672.0,172,311
673.0,172,311
674.0,172,311
675.0,123,253
675.0,172,311
676.0,123,253
676.0,172,311
677.0,172,311
678.0,123,253
678.0,172,311
679.0,119,275
679.0,172,311
680.0,172,311
682.0,172,311
683.0,105,113
688.0,119,335
692.0,113,513
695.0,63,481
703.0,105,513
709.0,50,771
710.0,50,771
718.0,15,95
722.0,15,95
722.0,15,29
722.0,29,95
723.0,29,95
723.0,15,95
723.0,15,29
724.0,15,95
730.0,15,95
731.0,15,95
732.0,15,95
733.0,194,786
733.0,15,95
735.0,105,113
737.0,95,194
738.0,15,95
739.0,15,95
741.0,95,194
742.0,150,154
742.0,95,194
743.0,150,154
743.0,15,95
743.0,95,194
744.0,150,154
744.0,105,113
745.0,150,154
745.0,105,113
746.0,105,113
747.0,150,154
750.0,150,154
750.0,494,765
751.0,150,154
751.0,494,765
752.0,150,154
753.0,150,154
756.0,150,154
756.0,494,765
757.0,150,154
763.0,48,209
764.0,48,209
765.0,48,209
765.0,113,513
768.0,80,222
773.0,17,48
775.0,179,209
776.0,17,179
776.0,179,209
776.0,17,209
776.0,17,48
777.0,66,209
778.0,48,209
778.0,17,66
778.0,123,253
779.0,17,66
780.0,80,222
780.0,17,66
781.0,123,253
781.0,17,66
782.0,196,223
782.0,17,66
782.0,66,196
783.0,196,223
783.0,223,819
783.0,17,102
783.0,39,205
783.0,66,209
783.0,17,66
784.0,196,819
784.0,48,66
784.0,17,66
785.0,80,765
785.0,17,66
785.0,66,102
785.0,196,819
785.0,66,209
785.0,48,66
786.0,66,102
786.0,80,765
786.0,17,179
786.0,196,819
786.0,17,66
786.0,66,209
786.0,48,66
787.0,48,209
787.0,48,66
787.0,66,102
787.0,223,819
787.0,196,819
787.0,21,66
787.0,102,179
788.0,48,209
788.0,66,102
788.0,21,48
788.0,17,102
788.0,205,496
788.0,102,179
789.0,48,209
789.0,66,102
789.0,17,102
789.0,21,66
789.0,102,179
790.0,48,209
790.0,80,765
790.0,48,134
790.0,66,102
790.0,17,102
790.0,21,66
790.0,134,209
790.0,66,209
790.0,102,179
791.0,48,66
792.0,80,765
793.0,80,765
793.0,105,113
794.0,80,765
795.0,80,765
795.0,240,275
797.0,80,222
798.0,134,240
798.0,80,222
799.0,134,240
799.0,80,222
800.0,240,285
800.0,134,496
800.0,80,222
801.0,240,285
801.0,134,285
801.0,80,222
801.0,123,253
802.0,240,285
802.0,134,240
802.0,134,285
802.0,80,222
802.0,123,253
805.0,271,601
805.0,205,496
806.0,205,496
808.0,271,601
808.0,205,311
808.0,205,496
808.0,80,311
809.0,311,496
809.0,205,496
810.0,63,481
810.0,205,496
811.0,80,222
811.0,205,496
812.0,80,222
812.0,205,496
812.0,63,271
813.0,80,765
813.0,205,311
813.0,80,222
813.0,205,496
814.0,80,765
814.0,205,496
815.0,80,765
815.0,80,222
816.0,80,222
816.0,205,496
817.0,222,496
817.0,205,311
817.0,205,496
818.0,311,496
818.0,205,496
819.0,205,311
819.0,205,496
820.0,205,496
821.0,205,496
822.0,80,765
822.0,80,222
822.0,205,496
823.0,205,496
824.0,80,765
824.0,205,496
825.0,80,765
825.0,222,496
825.0,205,496
825.0,39,113
826.0,80,765
826.0,205,496
826.0,39,113
827.0,80,222
828.0,80,765
829.0,80,765
830.0,80,765
830.0,205,496
831.0,80,765
831.0,123,253
832.0,80,765
832.0,80,494
833.0,80,765
833.0,80,494
834.0,80,765
834.0,80,494
835.0,80,765
835.0,80,494
837.0,39,113
839.0,494,765
841.0,123,253
854.0,80,222
864.0,105,275
875.0,311,496
876.0,311,496
876.0,80,222
877.0,311,496
877.0,123,253
878.0,123,253
882.0,80,311
883.0,80,311
885.0,311,496
886.0,311,496
887.0,311,496
888.0,311,496
888.0,80,765
889.0,311,496
890.0,311,496
895.0,311,496
905.0,113,242
906.0,113,194
907.0,311,496
909.0,113,242
910.0,311,496
910.0,113,242
910.0,113,194
911.0,113,242
912.0,113,194
924.0,311,496
925.0,311,496
926.0,311,496
926.0,79,804
928.0,311,496
928.0,267,311
929.0,311,496
929.0,267,311
930.0,267,311
932.0,267,311
932.0,80,222
932.0,205,267
933.0,66,102
933.0,267,311
933.0,80,222
933.0,123,164
934.0,267,311
934.0,21,66
934.0,205,267
935.0,267,311
936.0,267,311
937.0,267,311
937.0,79,804
938.0,79,804
938.0,267,311
938.0,66,179
939.0,267,311
939.0,267,496
940.0,267,311
940.0,267,496
941.0,311,496
941.0,267,311
941.0,80,222
941.0,267,496
942.0,311,496
942.0,267,311
942.0,267,496
942.0,205,267
943.0,311,496
943.0,48,804
943.0,267,311
943.0,511,804
943.0,179,222
943.0,267,496
943.0,205,267
944.0,267,311
944.0,511,804
944.0,179,222
944.0,205,267
945.0,267,311
945.0,48,179
946.0,48,179
946.0,17,179
946.0,267,311
947.0,311,496
947.0,17,179
947.0,267,311
947.0,511,804
948.0,511,804
949.0,48,179
950.0,48,179
950.0,511,804
951.0,48,179
951.0,511,804
951.0,267,496
952.0,66,804
952.0,21,48
952.0,511,804
952.0,267,496
952.0,17,21
952.0,17,48
953.0,275,804
953.0,511,804
953.0,267,496
954.0,511,804
955.0,311,496
955.0,102,271
955.0,511,804
955.0,21,66
955.0,102,601
956.0,271,601
956.0,267,311
956.0,511,804
957.0,271,601
957.0,511,804
958.0,271,601
958.0,21,66
959.0,311,496
959.0,271,601
959.0,267,311
959.0,21,66
959.0,267,496
960.0,311,496
960.0,267,311
960.0,267,496
961.0,79,311
961.0,205,496
961.0,48,66
962.0,311,496
963.0,271,601
963.0,222,267
965.0,271,601
965.0,222,267
965.0,48,80
966.0,222,267
967.0,271,601
967.0,804,826
968.0,48,66
968.0,804,826
968.0,778,804
970.0,271,601
970.0,222,267
971.0,271,601
971.0,209,285
971.0,79,102
973.0,223,267
973.0,285,875
973.0,222,223
973.0,222,267
974.0,223,267
974.0,285,875
974.0,222,223
974.0,222,267
975.0,223,267
975.0,271,601
975.0,285,875
975.0,222,267
976.0,223,267
976.0,285,875
976.0,222,267
977.0,223,267
977.0,271,601
977.0,285,875
978.0,285,875
978.0,184,267
978.0,275,875
980.0,271,601
981.0,271,601
981.0,285,875
982.0,271,601
982.0,285,875
983.0,285,875
983.0,184,804
984.0,184,804
985.0,184,804
986.0,184,804
988.0,285,875
990.0,285,875
993.0,102,240
993.0,222,267
994.0,102,240
994.0,222,267
995.0,222,267
996.0,222,267
997.0,285,875
1004.0,48,66
1005.0,285,875
1005.0,48,66
1008.0,222,267
1008.0,48,66
1009.0,222,267
1009.0,21,66
1009.0,48,66
1012.0,21,209
1014.0,119,875
1014.0,222,267
1016.0,222,267
1016.0,21,209
1017.0,222,267
1020.0,21,66
1020.0,48,66
1023.0,48,66
1024.0,21,48
1024.0,21,66
1024.0,48,66
1025.0,48,66
1035.0,222,267
1036.0,222,267
1037.0,79,95
1037.0,21,66
1039.0,222,267
1039.0,29,95
1040.0,21,66
1040.0,48,66
1041.0,222,267
1041.0,21,66
1041.0,95,181
1042.0,222,267
1042.0,21,66
1042.0,48,66
1043.0,21,66
1043.0,48,66
1044.0,48,66
1045.0,134,240
1046.0,21,48
1046.0,21,66
1046.0,48,66
1047.0,21,66
1047.0,48,66
1048.0,21,66
1048.0,48,66
1049.0,79,95
1049.0,48,66
1049.0,21,48
1049.0,21,66
1050.0,48,66
1051.0,48,66
1052.0,48,66
1053.0,39,267
1053.0,48,66
1054.0,48,66
1055.0,48,66
1056.0,48,66
1057.0,95,786
1057.0,48,66
1058.0,21,48
1058.0,48,66
1061.0,50,102
1062.0,63,481
1062.0,39,205
1063.0,39,205
1064.0,39,205
1065.0,119,275
1065.0,39,205
1066.0,39,205
1069.0,21,66
1070.0,223,311
1071.0,223,311
1071.0,21,66
1079.0,21,66
1079.0,48,66
1079.0,17,21
1083.0,765,786
1084.0,765,786
1086.0,50,771
1086.0,119,762
1089.0,17,771
1096.0,765,786
1097.0,765,786
1097.0,123,253
1098.0,448,499
1105.0,50,875
1105.0,335,511
1109.0,120,494
1110.0,120,494
1111.0,120,494
1112.0,120,494
1113.0,120,494
1115.0,120,494
1116.0,120,494
1117.0,120,494
1118.0,120,494
1119.0,120,494
1120.0,120,494
1121.0,120,494
1122.0,120,494
1123.0,120,494
1124.0,120,494
1125.0,120,494
1126.0,123,253
1126.0,120,494
1129.0,123,253
1129.0,120,494
1130.0,123,253
1130.0,120,494
1131.0,120,494
1132.0,120,494
1133.0,120,494
1138.0,765,786
1141.0,120,494
1142.0,120,494
1143.0,120,494
1144.0,120,494
1145.0,120,494
1146.0,120,494
1147.0,123,253
1147.0,120,494
1148.0,120,494
1149.0,765,786
1149.0,120,494
1150.0,765,786
1150.0,120,494
1151.0,765,786
1151.0,120,494
1152.0,120,494
1153.0,765,786
1157.0,765,786
1157.0,222,267
1157.0,123,253
1157.0,120,494
1158.0,765,786
1158.0,123,253
1158.0,120,494
1159.0,765,786
1159.0,123,253
1159.0,120,494
1160.0,765,786
1160.0,120,494
1161.0,120,494
1162.0,120,494
1163.0,765,786
1163.0,120,494
1164.0,120,494
1165.0,765,786
1165.0,120,494
1166.0,120,494
1167.0,120,494
1168.0,120,494
1169.0,120,494
1170.0,765,786
1170.0,120,494
1171.0,765,786
1171.0,120,494
1172.0,765,786
1172.0,120,494
1173.0,120,494
1174.0,120,494
1204.0,765,786
1204.0,120,494
1208.0,765,786
1208.0,222,267
1212.0,120,494
1213.0,134,285
1213.0,120,494
1216.0,765,786
1217.0,222,267
1219.0,222,267
1220.0,222,267
1225.0,765,786
1226.0,765,786
1227.0,765,786
1235.0,29,222
1236.0,29,222
1236.0,223,311
1239.0,222,267
1249.0,120,494
1251.0,222,267
1253.0,123,253
1254.0,123,253
1254.0,120,494
1259.0,765,786
1263.0,222,267
1264.0,222,267
1265.0,222,267
1265.0,268,845
1266.0,17,762
1266.0,222,267
1266.0,134,762
1273.0,765,786
1279.0,765,786
1280.0,765,786
1280.0,184,778
1281.0,765,786
1281.0,17,762
1281.0,184,778
1282.0,17,762
1282.0,184,778
1285.0,765,786
1285.0,184,778
1286.0,765,786
1286.0,184,778
1287.0,184,778
1289.0,116,762
1290.0,184,778
1291.0,184,778
1292.0,184,778
1292.0,120,494
