t,i,j,τ
205,600,609,1.0
208,600,609,6.0
245,600,609,1.0
254,600,609,1.0
279,600,609,2.0
305,600,609,1.0
327,600,609,1.0
350,600,609,1.0
352,600,609,2.0
367,600,609,1.0
441,600,609,2.0
449,600,609,2.0
555,600,609,1.0
778,600,609,1.0
1222,600,609,1.0
1228,600,609,2.0
1386,600,609,1.0
1399,600,609,2.0
1403,600,609,2.0
4739,600,609,1.0
13007,600,609,1.0
13199,600,609,1.0
13205,600,609,1.0
13208,600,609,1.0
13225,600,609,1.0
13299,600,609,1.0
13463,600,609,1.0
13943,600,609,1.0
14084,600,609,1.0
14089,600,609,1.0
14309,600,609,2.0
14314,600,609,2.0
14425,600,609,2.0
14433,600,609,1.0
14465,600,609,1.0
14467,600,609,2.0
31394,600,609,1.0
5466,600,610,2.0
5473,600,610,1.0
5512,600,610,1.0
5548,600,610,1.0
5612,600,610,1.0
5744,600,610,5.0
5752,600,610,1.0
5793,600,610,1.0
5797,600,610,2.0
5804,600,610,3.0
5824,600,610,1.0
18072,600,610,1.0
259,600,613,1.0
279,600,613,1.0
285,600,613,14.0
449,600,613,1.0
453,600,613,1.0
461,600,613,1.0
464,600,613,1.0
511,600,613,1.0
567,600,613,1.0
580,600,613,1.0
586,600,613,1.0
628,600,613,2.0
640,600,613,1.0
684,600,613,1.0
692,600,613,1.0
696,600,613,1.0
720,600,613,3.0
725,600,613,1.0
732,600,613,1.0
778,600,613,1.0
1160,600,613,1.0
1163,600,613,1.0
1171,600,613,1.0
1185,600,613,1.0
1216,600,613,1.0
1222,600,613,1.0
1224,600,613,1.0
1230,600,613,2.0
1233,600,613,2.0
1237,600,613,2.0
1241,600,613,1.0
1261,600,613,3.0
1272,600,613,2.0
1280,600,613,2.0
1283,600,613,6.0
1410,600,613,3.0
1414,600,613,2.0
1426,600,613,1.0
1432,600,613,1.0
1498,600,613,1.0
1517,600,613,1.0
1520,600,613,2.0
1536,600,613,1.0
4341,600,613,1.0
4353,600,613,1.0
4372,600,613,1.0
4387,600,613,1.0
4402,600,613,2.0
4406,600,613,1.0
4410,600,613,2.0
4444,600,613,1.0
4449,600,613,1.0
4487,600,613,2.0
4491,600,613,1.0
4500,600,613,1.0
4525,600,613,2.0
4561,600,613,1.0
4569,600,613,2.0
4586,600,613,1.0
4601,600,613,2.0
4606,600,613,1.0
4608,600,613,2.0
4612,600,613,3.0
4619,600,613,1.0
4622,600,613,3.0
4627,600,613,1.0
4631,600,613,1.0
4633,600,613,2.0
4642,600,613,1.0
4645,600,613,1.0
4657,600,613,1.0
4662,600,613,1.0
4668,600,613,1.0
4671,600,613,1.0
4694,600,613,7.0
4702,600,613,1.0
4711,600,613,2.0
4715,600,613,1.0
4718,600,613,3.0
4725,600,613,4.0
4738,600,613,2.0
4754,600,613,2.0
4758,600,613,1.0
4760,600,613,3.0
4765,600,613,3.0
4769,600,613,1.0
12997,600,613,1.0
13016,600,613,1.0
13086,600,613,1.0
13091,600,613,1.0
13093,600,613,1.0
13095,600,613,2.0
13100,600,613,1.0
13108,600,613,1.0
13113,600,613,1.0
13116,600,613,1.0
13173,600,613,1.0
13292,600,613,1.0
13294,600,613,1.0
13297,600,613,1.0
13299,600,613,1.0
13431,600,613,1.0
13440,600,613,2.0
13444,600,613,2.0
13447,600,613,1.0
13453,600,613,1.0
13456,600,613,1.0
13685,600,613,1.0
13714,600,613,1.0
13986,600,613,1.0
14022,600,613,1.0
14027,600,613,3.0
14037,600,613,3.0
14042,600,613,4.0
14057,600,613,1.0
14065,600,613,2.0
14068,600,613,2.0
14071,600,613,10.0
14083,600,613,1.0
14107,600,613,2.0
14116,600,613,2.0
14165,600,613,1.0
14202,600,613,3.0
14256,600,613,1.0
14258,600,613,3.0
14271,600,613,1.0
14289,600,613,3.0
14293,600,613,2.0
14296,600,613,2.0
14299,600,613,2.0
14444,600,613,1.0
14446,600,613,1.0
14449,600,613,7.0
14466,600,613,1.0
14469,600,613,3.0
17314,600,613,1.0
17317,600,613,2.0
17321,600,613,3.0
17418,600,613,7.0
17431,600,613,1.0
17468,600,613,1.0
17470,600,613,1.0
17472,600,613,1.0
17475,600,613,5.0
17515,600,613,4.0
17522,600,613,12.0
17537,600,613,1.0
17552,600,613,2.0
17555,600,613,2.0
17582,600,613,1.0
17603,600,613,1.0
17660,600,613,7.0
17712,600,613,1.0
17793,600,613,1.0
17948,600,613,2.0
17952,600,613,1.0
17955,600,613,1.0
18016,600,613,2.0
18073,600,613,1.0
18180,600,613,1.0
18245,600,613,11.0
18259,600,613,3.0
18263,600,613,7.0
18274,600,613,3.0
18280,600,613,1.0
18282,600,613,2.0
18288,600,613,3.0
18311,600,613,1.0
18336,600,613,3.0
18430,600,613,2.0
18433,600,613,1.0
18435,600,613,4.0
18443,600,613,1.0
18460,600,613,1.0
18499,600,613,4.0
18505,600,613,1.0
18507,600,613,1.0
18512,600,613,1.0
18544,600,613,1.0
18548,600,613,1.0
18573,600,613,1.0
18600,600,613,1.0
18612,600,613,3.0
18616,600,613,2.0
18619,600,613,1.0
18622,600,613,2.0
18625,600,613,1.0
18629,600,613,1.0
18655,600,613,2.0
18658,600,613,1.0
18695,600,613,2.0
18729,600,613,10.0
18742,600,613,1.0
18950,600,613,9.0
18961,600,613,1.0
18984,600,613,1.0
18986,600,613,2.0
19002,600,613,2.0
19115,600,613,1.0
19172,600,613,1.0
19175,600,613,2.0
19178,600,613,1.0
19183,600,613,1.0
30245,600,613,1.0
30400,600,613,1.0
30551,600,613,1.0
30557,600,613,1.0
30588,600,613,2.0
30591,600,613,3.0
30620,600,613,1.0
30624,600,613,1.0
30626,600,613,2.0
30676,600,613,4.0
30681,600,613,1.0
30683,600,613,3.0
30690,600,613,2.0
30693,600,613,2.0
30697,600,613,1.0
30725,600,613,1.0
30727,600,613,2.0
30734,600,613,2.0
30738,600,613,5.0
30756,600,613,1.0
30761,600,613,7.0
30770,600,613,2.0
30776,600,613,2.0
30813,600,613,1.0
30815,600,613,3.0
30819,600,613,2.0
30824,600,613,2.0
30830,600,613,2.0
30839,600,613,2.0
30849,600,613,3.0
30908,600,613,2.0
30918,600,613,2.0
30979,600,613,1.0
31010,600,613,1.0
31048,600,613,2.0
31051,600,613,1.0
31264,600,613,1.0
31381,600,613,1.0
31385,600,613,1.0
31398,600,613,1.0
31404,600,613,1.0
31425,600,613,1.0
31512,600,613,2.0
31528,600,613,1.0
31532,600,613,1.0
31534,600,613,1.0
31564,600,613,3.0
31572,600,613,1.0
31595,600,613,5.0
31615,600,613,2.0
31626,600,613,3.0
34991,600,613,1.0
35060,600,613,1.0
35076,600,613,1.0
35089,600,613,1.0
35105,600,613,1.0
35119,600,613,1.0
35136,600,613,1.0
35156,600,613,1.0
35182,600,613,1.0
35205,600,613,1.0
35309,600,613,1.0
35700,600,613,2.0
35706,600,613,1.0
35711,600,613,3.0
35813,600,613,1.0
35836,600,613,1.0
35890,600,613,1.0
35892,600,613,5.0
35907,600,613,2.0
35916,600,613,1.0
35931,600,613,1.0
35954,600,613,1.0
35956,600,613,12.0
35986,600,613,1.0
35995,600,613,2.0
35999,600,613,1.0
36016,600,613,2.0
36022,600,613,1.0
36024,600,613,1.0
36040,600,613,1.0
36043,600,613,3.0
36054,600,613,1.0
36057,600,613,1.0
36061,600,613,1.0
36069,600,613,5.0
36079,600,613,1.0
36081,600,613,1.0
36085,600,613,2.0
36090,600,613,1.0
36095,600,613,1.0
36097,600,613,1.0
36101,600,613,1.0
1156,600,616,1.0
17319,600,623,1.0
30628,600,623,1.0
35699,600,623,2.0
35698,600,624,1.0
5224,600,628,1.0
18624,600,628,1.0
403,600,634,2.0
418,600,634,4.0
423,600,634,1.0
425,600,634,3.0
429,600,634,2.0
432,600,634,1.0
436,600,634,1.0
439,600,634,2.0
911,600,634,1.0
939,600,634,1.0
944,600,634,1.0
952,600,634,3.0
956,600,634,1.0
5228,600,634,1.0
5230,600,634,1.0
5232,600,634,1.0
12925,600,634,2.0
12932,600,634,1.0
12936,600,634,1.0
12939,600,634,3.0
12944,600,634,6.0
12952,600,634,2.0
12956,600,634,1.0
12961,600,634,1.0
12963,600,634,3.0
13378,600,634,1.0
13388,600,634,2.0
13391,600,634,1.0
13758,600,634,1.0
14302,600,635,1.0
18869,600,648,1.0
18905,600,648,1.0
18955,600,648,1.0
18987,600,648,1.0
4353,600,654,1.0
4752,600,654,1.0
17718,600,654,1.0
35094,600,654,1.0
35184,600,654,1.0
35193,600,654,1.0
35201,600,654,1.0
35228,600,654,2.0
35234,600,654,1.0
35237,600,654,1.0
35243,600,654,1.0
35270,600,654,1.0
35318,600,654,1.0
35320,600,654,1.0
36071,600,654,1.0
31394,600,656,1.0
443,600,658,1.0
1157,600,658,1.0
4740,600,658,1.0
5462,600,658,2.0
5469,600,658,1.0
5837,600,658,2.0
13752,600,658,1.0
14305,600,658,1.0
30241,600,658,11.0
30254,600,658,3.0
30258,600,658,2.0
30265,600,658,1.0
30270,600,658,2.0
30275,600,658,1.0
30289,600,658,2.0
30334,600,658,1.0
30337,600,658,2.0
30340,600,658,4.0
30350,600,658,2.0
30360,600,658,3.0
30465,600,658,1.0
30469,600,658,10.0
30480,600,658,2.0
30484,600,658,6.0
30537,600,658,1.0
30540,600,658,6.0
30547,600,658,4.0
30557,600,658,6.0
30565,600,658,2.0
30612,600,658,1.0
30624,600,658,2.0
30627,600,658,2.0
30673,600,658,1.0
30678,600,658,4.0
31395,600,658,14.0
31653,600,658,1.0
31655,600,658,1.0
31657,600,658,2.0
31661,600,658,1.0
31698,600,658,3.0
31702,600,658,4.0
31707,600,658,5.0
31717,600,658,1.0
31736,600,658,1.0
31739,600,658,4.0
31747,600,658,5.0
35700,600,658,1.0
35707,600,658,1.0
35709,600,658,1.0
35729,600,658,1.0
35796,600,658,2.0
35799,600,658,1.0
35801,600,658,2.0
35815,600,658,2.0
35820,600,658,2.0
35825,600,658,1.0
35829,600,658,2.0
35852,600,658,2.0
35855,600,658,4.0
35861,600,658,2.0
35865,600,658,4.0
35870,600,658,1.0
35872,600,658,1.0
968,600,661,1.0
18175,600,661,1.0
18184,600,661,2.0
18238,600,661,2.0
18241,600,661,1.0
14289,600,683,1.0
18703,600,683,1.0
18987,600,683,1.0
34991,600,683,1.0
35362,600,683,1.0
36081,600,683,1.0
1160,600,690,1.0
18736,600,692,1.0
35094,600,694,1.0
35352,600,694,1.0
36080,600,696,2.0
36099,600,696,2.0
1149,600,698,1.0
35352,600,817,1.0
35527,600,834,1.0
802,600,854,1.0
805,600,854,1.0
934,600,854,1.0
938,600,854,1.0
940,600,854,4.0
953,600,854,6.0
961,600,854,3.0
17708,600,854,1.0
30645,600,854,3.0
30656,600,854,1.0
9596,600,858,2.0
9601,600,858,5.0
9607,600,858,1.0
9609,600,858,3.0
9613,600,858,4.0
9621,600,858,1.0
13758,600,858,1.0
13760,600,858,1.0
35524,600,858,1.0
35533,600,858,1.0
415,600,866,5.0
956,600,866,2.0
960,600,866,2.0
13360,600,866,2.0
13363,600,866,3.0
13367,600,866,3.0
13371,600,866,2.0
13374,600,866,8.0
13388,600,866,5.0
17689,600,866,1.0
17692,600,866,2.0
17704,600,866,7.0
13393,600,869,1.0
412,600,871,1.0
414,600,871,2.0
13389,600,871,5.0
9036,600,884,1.0
9038,600,884,2.0
9064,600,884,1.0
34964,600,884,2.0
34967,600,884,2.0
34973,600,884,3.0
30231,600,1164,2.0
9462,600,1644,2.0
1158,600,1657,1.0
444,601,610,1.0
447,601,610,1.0
447,601,613,1.0
584,601,616,1.0
781,601,616,1.0
14655,601,616,2.0
14660,601,616,1.0
782,601,623,2.0
18291,601,623,1.0
18295,601,623,1.0
18303,601,623,1.0
18312,601,623,2.0
18315,601,623,1.0
18323,601,623,2.0
18340,601,623,1.0
18343,601,623,1.0
18347,601,623,1.0
18365,601,623,1.0
18384,601,623,3.0
18390,601,623,1.0
18393,601,623,2.0
18404,601,623,1.0
18409,601,623,1.0
18411,601,623,1.0
18418,601,623,2.0
18496,601,623,1.0
18534,601,623,1.0
18997,601,623,1.0
35347,601,624,1.0
35354,601,624,3.0
36073,601,624,1.0
14482,601,626,1.0
35491,601,628,1.0
35591,601,628,1.0
35595,601,628,1.0
35622,601,628,1.0
35633,601,628,2.0
35636,601,628,1.0
35641,601,628,3.0
35650,601,628,4.0
35659,601,628,5.0
35668,601,628,2.0
35673,601,628,3.0
35687,601,628,1.0
35691,601,628,1.0
